"","X","COSMIC_ID","DRUG_ID","IC50_Normal","Cp","AICc","GCV","BIC","cc_real...2."
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,"X1303897",1,0.368488555157596,0.140004680303212,0.156630052040824,0.156630052040824,0.136580111078514,0.368488555157596
"4",2,"X1327771",1,0.128555804348318,0.108586568859494,0.073734717198677,0.073734717198677,0.132919763965567,0.128555804348318
"5",3,"X1327774",1,-0.166443888180737,0.0982920324953017,0.151789720513092,0.151789720513092,0.144440381626723,-0.166443888180737
"6",4,"X688014",1,0.436726466519097,0.368168622724418,0.303611695959159,0.303611695959159,0.295107177510262,0.436726466519097
"7",5,"X753531",1,-1.4489799372053,-0.254033581199677,0.152352652657104,0.152352652657104,-0.175476173803963,-1.4489799372053
"8",6,"X753589",1,0.6837032519777,0.414764036444802,0.595524247616346,0.595524247616346,0.316347902200627,0.6837032519777
"9",7,"X905952",1,0.0459899063711974,0.176211622917085,0.137808457455429,0.137808457455429,0.187174164327268,0.0459899063711974
"10",8,"X905970",1,-1.14998506026932,-0.177836714322692,-0.161496758249788,-0.161496758249788,-0.091472992851132,-1.14998506026932
"11",9,"X906794",1,-0.652944481278592,-0.326327415430685,-0.330420920527434,-0.330420920527434,-0.18671984385611,-0.652944481278592
"12",10,"X906808",1,0.537128776533549,0.341637789444577,0.373524183778992,0.373524183778992,0.250620350424686,0.537128776533549
"13",11,"X906813",1,0.411471979235547,0.235292306730903,0.0747545476592228,0.0747545476592228,0.268397427085456,0.411471979235547
"14",12,"X906841",1,-0.377239611788701,-0.304507586970958,-0.111172318389327,-0.111172318389327,-0.210476567635487,-0.377239611788701
"15",13,"X906854",1,0.77420640374761,0.292557975199008,0.38315248156963,0.38315248156963,0.19705269650999,0.77420640374761
"16",14,"X906872",1,0.20795095911404,0.251774780229302,0.219762712505133,0.219762712505133,0.220351491369628,0.20795095911404
"17",15,"X907277",1,-0.030592502272445,0.139389981527427,0.0310421907130523,0.0310421907130523,0.187272730269217,-0.030592502272445
"18",16,"X908151",1,0.278834275645406,0.151760364989687,0.100254143469868,0.100254143469868,0.0806741865323022,0.278834275645406
"19",17,"X908159",1,0.109942985569282,0.118970917878779,0.171337736995352,0.171337736995352,0.129080369806334,0.109942985569282
"20",18,"X908448",1,0.39573416662065,0.14887966128013,0.175188644170762,0.175188644170762,0.139884064013202,0.39573416662065
"21",19,"X908483",1,0.301626561165938,0.291456644352378,0.298585809261692,0.298585809261692,0.250141310493018,0.301626561165938
"22",20,"X909723",1,0.0881987859662692,0.288082749514258,0.463821396708591,0.463821396708591,0.271022276960496,0.0881987859662692
"23",21,"X909769",1,0.490806274348287,-0.193753831822435,-0.222785255564913,-0.222785255564913,-0.112427084203225,0.490806274348287
