"","X","DRUG_ID","COSMIC_ID","IC50_Normal","dd_predict...2.","dd_real...2."
"1",NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA
"3",1,"X1004",683665,-2.65340815482635,-0.296223591059298,-2.65340815482635
"4",2,"X1009",683665,0.69020529540985,-0.801084591022822,0.69020529540985
"5",3,"X1017",683665,0.640919824890641,-0.467352410032711,0.640919824890641
"6",4,"X1025",683665,0.897034795691589,-0.189462945386828,0.897034795691589
"7",5,"X1026",683665,-0.558720037557414,-0.618193798066971,-0.558720037557414
"8",6,"X1036",683665,0.444514307295818,0.481531541644324,0.444514307295818
"9",7,"X1039",683665,0.395624370944105,-0.495378140433975,0.395624370944105
"10",8,"X1042",683665,0.896898758423429,-0.0117532815380011,0.896898758423429
"11",9,"X1049",683665,-0.343831734144988,-0.229398585270032,-0.343831734144988
"12",10,"X1050",683665,-0.482537039092194,-0.186212266846128,-0.482537039092194
"13",11,"X1052",683665,0.447972351965395,-0.370219171513224,0.447972351965395
"14",12,"X1057",683665,-2.25925812228706,-0.30270107741637,-2.25925812228706
"15",13,"X1069",683665,0.639247224564294,-0.465230186968201,0.639247224564294
"16",14,"X110",683665,0.584719384604548,-0.359198880191252,0.584719384604548
"17",15,"X1242",683665,-0.789704117419434,-0.630185118054813,-0.789704117419434
"18",16,"X1268",683665,0.328573730872486,-0.384187486228419,0.328573730872486
"19",17,"X156",683665,-0.219970948770055,-0.470292327564632,-0.219970948770055
"20",18,"X178",683665,-0.715706889825447,-0.151504827697609,-0.715706889825447
"21",19,"X179",683665,-0.706502535175495,-0.385975206470015,-0.706502535175495
"22",20,"X199",683665,0.369897812133344,0.0703017565009408,0.369897812133344
"23",21,"X219",683665,-0.963717044183912,-0.211328159634353,-0.963717044183912
"24",22,"X228",683665,-0.915145236324852,-0.106442832434528,-0.915145236324852
"25",23,"X245",683665,-0.180468341387747,-0.0936218755834944,-0.180468341387747
"26",24,"X262",683665,-0.0782911361351134,0.00053182011084435,-0.0782911361351134
"27",25,"X288",683665,0.330501660185561,-0.193202839118488,0.330501660185561
"28",26,"X292",683665,0.153094282673398,-0.0766457154039239,0.153094282673398
