"","x"
"antiquewhite4",0.033306215115894
"bisque4",0.119866609655645
"black",0.000764625260810631
"blue",-0.00108802613140765
"brown",-0.173669882783886
"brown4",0.00156737769795517
"coral1",0.0894837039866458
"coral2",-0.00409598029077503
"cyan",0.0193466492521109
"darkgreen",0.0381219259644929
"darkgrey",-0.349423992281348
"darkmagenta",0.0391180523970105
"darkolivegreen",0.000766753911368752
"darkorange",0.0988035511022896
"darkorange2",0.0839570955727604
"darkred",-0.0117074726956806
"darkseagreen4",0.037872503103247
"darkslateblue",0.0225363702649558
"darkturquoise",0.0264191656342563
"firebrick4",-0.0772948463164512
"floralwhite",0.0673307526264299
"green",0.0641947919563535
"greenyellow",0.054008923163461
"grey60",0.0414247421041036
"honeydew1",0.054898633437173
"indianred4",0.0362025814882265
"ivory",0.0265994323043125
"lavenderblush3",-0.0383574724529543
"lightcoral",-0.00525730628031297
"lightcyan",-0.0315809608495612
"lightcyan1",0.0817533108761248
"lightgreen",0.101700884547721
"lightpink4",0.0436961325483672
"lightsteelblue",0.081857792749042
"lightsteelblue1",-0.0439611774075681
"lightyellow",0.0198706813552293
"magenta",0.0414250843296855
"maroon",0.0235997243060832
"mediumorchid",0.0678392738313257
"mediumpurple2",0.0530254478050897
"mediumpurple3",-0.0481897100219163
"midnightblue",0.0792294789336365
"navajowhite2",0.19205752157479
"orange",0.121100531612986
"orangered3",0.0449290485738819
"orangered4",-0.0319498680076051
"paleturquoise",-0.00981452880612396
"palevioletred3",0.00477204887149842
"pink",0.0134640997369825
"plum",0.230960143194143
"plum1",-0.00930363360016067
"plum2",0.0182464827790333
"purple",0.0475785833230271
"red",-0.167504943727814
"royalblue",-0.109747307541724
"saddlebrown",-0.00205572453191127
"salmon",0.0471902519314643
"salmon4",0.0905385466938205
"sienna3",-0.195540927799736
"skyblue",0.0511234284366156
"skyblue1",-0.0527046065987436
"skyblue2",-0.155314584922489
"skyblue3",-0.110929343236438
"steelblue",0.0154487122899107
"tan",-0.0814679172264594
"thistle1",-0.106021703428735
"thistle2",0.00279772519820884
"turquoise",0.0329731210119139
"violet",0.0525816368195383
"white",0.066210513612211
"yellow",0.145703334710319
"yellow4",0.00896006836375097
"yellowgreen",0.151441408305178
