"","x"
"antiquewhite4","ENSG00000106341"
"bisque4","ENSG00000156469"
"black","ENSG00000175489"
"blue","ENSG00000140107"
"brown","ENSG00000006327"
"brown4","ENSG00000168148"
"coral1","ENSG00000167749"
"coral2","ENSG00000130935"
"cyan","ENSG00000113083"
"darkgreen","ENSG00000198218"
"darkgrey","ENSG00000189280"
"darkmagenta","ENSG00000160087"
"darkolivegreen","ENSG00000160654"
"darkorange","ENSG00000115524"
"darkorange2","ENSG00000058729"
"darkred","ENSG00000102145"
"darkseagreen4","ENSG00000122733"
"darkslateblue","ENSG00000100450"
"darkturquoise","ENSG00000100796"
"firebrick4","ENSG00000154143"
"floralwhite","ENSG00000124664"
"green","ENSG00000167670"
"greenyellow","ENSG00000105246"
"grey60","ENSG00000169385"
"honeydew1","ENSG00000099960"
"indianred4","ENSG00000135374"
"ivory","ENSG00000146910"
"lavenderblush3","ENSG00000135775"
"lightcoral","ENSG00000164451"
"lightcyan","ENSG00000130766"
"lightcyan1","ENSG00000058262"
"lightgreen","ENSG00000079689"
"lightpink4","ENSG00000116726"
"lightsteelblue","ENSG00000095906"
"lightsteelblue1","ENSG00000138614"
"lightyellow","ENSG00000171747"
"magenta","ENSG00000143851"
"maroon","ENSG00000129221"
"mediumorchid","ENSG00000221818"
"mediumpurple2","ENSG00000150750"
"mediumpurple3","ENSG00000140829"
"midnightblue","ENSG00000077498"
"navajowhite2","ENSG00000132664"
"orange","ENSG00000251247"
"orangered3","ENSG00000064835"
"orangered4","ENSG00000168876"
"paleturquoise","ENSG00000133114"
"palevioletred3","ENSG00000179950"
"pink","ENSG00000163811"
"plum","ENSG00000091164"
"plum1","ENSG00000156574"
"plum2","ENSG00000100335"
"purple","ENSG00000167658"
"red","ENSG00000103067"
"royalblue","ENSG00000173193"
"saddlebrown","ENSG00000111536"
"salmon","ENSG00000135447"
"salmon4","ENSG00000198791"
"sienna3","ENSG00000113249"
"skyblue","ENSG00000169689"
"skyblue1","ENSG00000084674"
"skyblue2","ENSG00000091704"
"skyblue3","ENSG00000127774"
"steelblue","ENSG00000165462"
"tan","ENSG00000166183"
"thistle1","ENSG00000163534"
"thistle2","ENSG00000148156"
"turquoise","ENSG00000143119"
"violet","ENSG00000160714"
"white","ENSG00000160917"
"yellow","ENSG00000196361"
"yellow4","ENSG00000105392"
"yellowgreen","ENSG00000128656"
