"","Var1","Freq"
"1","0",3888
"2","1",1542
"3","2",1343
"4","3",1331
"5","4",1151
"6","5",743
"7","6",581
"8","7",544
"9","8",392
"10","9",345
"11","10",340
"12","11",331
"13","12",326
"14","13",308
"15","14",290
"16","15",229
"17","16",200
"18","17",185
"19","18",163
"20","19",153
"21","20",139
"22","21",139
"23","22",120
"24","23",120
"25","24",120
"26","25",105
"27","26",102
"28","27",96
"29","28",96
"30","29",91
"31","30",89
"32","31",86
"33","32",85
"34","33",78
"35","34",75
"36","35",74
"37","36",72
"38","37",70
"39","38",69
"40","39",68
"41","40",68
"42","41",64
"43","42",64
"44","43",64
"45","44",63
"46","45",57
"47","46",51
"48","47",51
"49","48",49
"50","49",48
"51","50",48
"52","51",44
"53","52",44
"54","53",41
"55","54",41
"56","55",41
"57","56",40
"58","57",38
"59","58",38
"60","59",38
"61","60",36
"62","61",36
"63","62",35
"64","63",35
"65","64",35
"66","65",35
"67","66",33
"68","67",33
"69","68",33
"70","69",33
"71","70",32
"72","71",30
"73","72",30
"74","73",30
